"unit","opponent","oneVsOne","oneVsOneWins","oneVsOneSeconds","oneVsOneMargin","cost","costWins","costCount","costMargin","costMarginSpread","costValueLost","costOpponentValueLost","costSeconds","spotted","spottedWins","spottedMargin","spottedMarginSpread","spottedSeconds","firstShotCells","longestShotCells","spottedLongestShotCells","shotFirst"
"e1","e2","won","2/3","11.5","-0.001","won","3/3","36v23","0.237","0.247","2749","3680","12.1","won","3/3","0.348","0.063","10.9","3","4.5","4.5","yes"
"e1","e3","won","3/3","13.8","0.72","won","3/3","36v12","0.922","0.007","279","3600","12.6","won","3/3","0.936","0.003","12.5","3.2","4.5","4.5","no"
"e1","e4","lost","0/3","10.8","-0.665","won","3/3","36v18","0.583","0.087","1502","3600","12.4","won","3/3","0.607","0.134","12.2","3.2","4.5","4.5","yes"
"e1","e5","lost","0/3","8.6","-0.833","won","3/3","36v12","0.706","0.071","1060","3600","11","won","3/3","0.701","0.039","11.1","3.2","4.5","4.5","yes"
"e1","rmbo","lost","0/3","6.2","-1","won","3/3","36v2","0.861","0","500","3000","9.3","won","3/3","0.889","0","10.1","3.2","4.2","4.2","no"
"e1","jeep","lost","0/3","5.3","-0.958","lost","0/3","36v9","-0.531","0.028","3600","1688","12.5","lost","0/3","-0.563","0.06","12.1","3","4.1","4.5","no"
"e1","apc","lost","0/3","16.4","-0.929","won","3/3","36v6","0.596","0.008","1454","3600","37.2","won","3/3","0.599","0.018","37.3","3.2","4.2","4.1","no"
"e1","mtnk","lost","0/3","20.7","-0.961","won","3/3","36v4","0.675","0.003","1169","3600","54.5","won","3/3","0.673","0.004","53.8","3.2","4.2","4.2","no"
"e1","htnk","lost","0/3","11.5","-0.996","lost","0/3","36v2","-0.533","0.036","3600","1682","42.9","lost","0/3","-0.526","0.018","43.4","3","4.1","4.1","no"
"e1","msam","lost","0/3","16.3","-0.7","won","3/3","36v4","0.434","0.021","2036","3600","17.1","won","3/3","0.374","0.007","19.3","3.6","4.1","4.2","no"
"e1","bggy","lost","0/3","5.6","-0.922","lost","0/3","36v12","-0.343","0.12","3600","2364","14.3","lost","0/3","-0.361","0.016","13.7","2.8","4.2","4.1","no"
"e1","bike","lost","0/3","21.8","-0.224","won","3/3","36v7","0.865","0.02","485","3500","13.3","won","3/3","0.871","0.009","13.5","3.2","4.2","4.2","same"
"e1","ltnk","lost","0/3","23.7","-0.93","won","3/3","36v5","0.769","0.014","830","3750","44.5","won","3/3","0.777","0.034","44.5","3.2","4.2","4.2","no"
"e1","ftnk","lost","0/3","6.3","-0.997","lost","0/3","36v6","-0.884","0.018","3600","418","14.2","lost","0/3","-0.888","0.013","14.5","2.2","4.5","4.2","yes"
"e1","stnk","lost","0/3","14.5","-0.733","won","3/3","36v4","0.876","0.005","447","3600","11.7","won","3/3","0.885","0.024","11.3","3.2","4.1","4.1","no"
"e1","arty","lost","0/3","13.6","-0.715","won","2/3","36v6","-0.015","0.183","3500","3447","21.7","lost","0/3","-0.21","0.243","20.3","3.2","4.1","4.1","no"
"e1","mlrs","won","2/3","31.7","0.348","won","3/3","36v6","0.64","0.058","1294","3600","22.7","won","3/3","0.662","0.045","20.5","2.2","5.4","5.1","yes"
"e1","orca","lost","0/3","18.8","-1","unresolved","0/3","36v3","-0.585","0.14","2106","0","180","unresolved","0/3","-0.566","0.19","180",,,,"no"
"e1","heli","lost","0/3","5.4","-1","unresolved","0/3","36v3","-0.369","0.013","1328","0","61.3","unresolved","0/3","-0.508","0.374","87.5",,,,"no"
"e2","e1","lost","1/3","11.5","0.001","lost","0/3","23v36","-0.237","0.247","3680","2749","12.1","lost","0/3","-0.348","0.063","10.9","3.2","5","4.1","no"
"e2","e3","won","3/3","12.2","0.834","won","3/3","23v12","0.857","0.025","526","3600","14.1","won","3/3","0.863","0.002","14.1","3.2","5.4","5.4","no"
"e2","e4","lost","0/3","10","-0.758","won","3/3","23v18","0.452","0.048","2017","3600","12.9","won","3/3","0.477","0.03","12.3","2.2","5.1","5.1","no"
"e2","e5","lost","0/3","7.8","-1","won","3/3","23v12","0.591","0.139","1506","3600","12.2","won","3/3","0.58","0.186","12.3","2.2","4.5","4.5","no"
"e2","rmbo","lost","0/3","5.6","-1","won","3/3","23v2","0.731","0.044","992","3000","11.2","won","3/3","0.67","0.167","10.7","3.2","5","4.1","no"
"e2","jeep","lost","0/3","4.9","-1","lost","0/3","23v9","-0.19","0.105","3680","2916","10.5","lost","1/3","-0.055","0.275","12.5",,"5.4","5.4","no"
"e2","apc","lost","0/3","16","-0.471","won","3/3","23v6","0.779","0.004","812","3600","13.3","won","3/3","0.795","0.012","12.9","3.2","5.1","5.1","no"
"e2","mtnk","lost","0/3","21","-0.735","won","3/3","23v4","0.828","0.008","631","3600","16.8","won","3/3","0.835","0.007","16.9","3.2","4.5","4.5","no"
"e2","htnk","lost","0/3","10.2","-0.981","won","3/3","23v2","0.386","0.061","2261","3600","20.4","won","3/3","0.398","0.04","20.4","2.2","5.1","5.1","no"
"e2","msam","lost","0/3","15","-0.271","won","3/3","23v4","0.153","0.037","3117","3600","17.1","won","3/3","0.13","0.069","16.7","3.2","5.8","5.1","no"
"e2","bggy","lost","0/3","5.5","-0.831","lost","0/3","23v12","-0.137","0.111","3680","3107","10.3","lost","0/3","-0.146","0.13","10.7","3","5.4","5.1","no"
"e2","bike","won","3/3","10.3","0.556","won","3/3","23v7","0.854","0.029","539","3500","11.9","won","3/3","0.878","0.009","11.9","3","5.4","5.4","no"
"e2","ltnk","lost","0/3","23.2","-0.521","won","3/3","23v5","0.874","0.005","462","3750","17.5","won","3/3","0.874","0.009","17.8","2.2","5.1","5.4","no"
"e2","ftnk","lost","0/3","5.8","-1","lost","0/3","23v6","-0.422","0.338","3680","2081","11.1","lost","0/3","-0.371","0.143","11.4",,"5.4","5.1","no"
"e2","stnk","lost","1/3","11.9","-0.291","won","3/3","23v4","0.841","0.019","586","3600","10.5","won","3/3","0.842","0.025","10.6","3.2","5.1","5.1","no"
"e2","arty","lost","0/3","12.2","-0.904","lost","1/3","23v6","-0.297","0.521","3650","2499","16.1","lost","0/3","-0.263","0.284","15.4","3","5.1","5","no"
"e2","mlrs","won","3/3","20.4","1","won","2/3","23v6","0.365","0.116","2304","3567","33.4","won","3/3","0.392","0.098","18.5","1.1","5.4","5","yes"
"e2","orca","lost","0/3","22.4","-1","unresolved","0/3","23v3","-0.877","0.077","3227","0","180","unresolved","0/3","-0.638","0.056","180",,,,"no"
"e2","heli","lost","0/3","5.2","-1","unresolved","0/3","23v3","-0.647","0.13","2380","0","60","unresolved","0/3","-0.556","0.047","58.3",,,,"no"
"e3","e1","lost","0/3","13.8","-0.72","lost","0/3","12v36","-0.922","0.007","3600","279","12.6","lost","0/3","-0.936","0.003","12.5","3","6","5.1","yes"
"e3","e2","lost","0/3","12.2","-0.834","lost","0/3","12v23","-0.857","0.025","3600","526","14.1","lost","0/3","-0.863","0.002","14.1","4","6","6","yes"
"e3","e4","lost","0/3","12.8","-0.95","lost","0/3","12v18","-0.905","0.012","3600","343","15.4","lost","0/3","-0.913","0.017","15.1","3","5.4","5.4","yes"
"e3","e5","lost","0/3","10.6","-0.96","lost","0/3","12v12","-0.858","0.019","3600","510","15.4","lost","0/3","-0.854","0.022","15.4","3","5","5.1","yes"
"e3","rmbo","lost","0/3","6.8","-1","lost","0/3","12v2","-0.717","0.036","3600","851","21","lost","0/3","-0.663","0.014","22.6","5.1","6.1","6.1","no"
"e3","jeep","lost","0/3","5.7","-0.782","lost","0/3","12v9","-0.582","0.141","3600","1504","8.3","lost","0/3","-0.603","0.053","8.2","3","5.1","5.1","no"
"e3","apc","lost","0/3","15.2","-0.078","won","3/3","12v6","0.747","0.012","912","3600","13.5","won","3/3","0.751","0.018","13.7","4","7","6.1","no"
"e3","mtnk","lost","0/3","18.8","-0.611","won","3/3","12v4","0.785","0.025","772","3600","16.9","won","3/3","0.789","0.027","17.1","3","6.1","6.1","no"
"e3","htnk","lost","0/3","12.3","-0.933","lost","1/3","12v2","0.022","0.141","3467","3545","25.6","lost","1/3","0.052","0.242","25.1","4","5","5.1","no"
"e3","msam","won","3/3","14.8","0.087","lost","1/3","12v4","-0.304","0.499","3600","2506","21.9","lost","0/3","-0.753","0.042","17.8","5","6.1","6.1","no"
"e3","bggy","lost","0/3","5.1","-0.71","lost","0/3","12v12","-0.617","0.161","3600","1379","7.9","lost","0/3","-0.696","0.046","7.6","4","6","6.1","no"
"e3","bike","won","3/3","11.6","0.477","won","3/3","12v7","0.752","0.018","892","3500","15","won","3/3","0.773","0.061","13.4","5","7","6.4","no"
"e3","ltnk","lost","0/3","21.8","-0.235","won","3/3","12v5","0.842","0.001","567","3750","14.9","won","3/3","0.84","0.008","14.9","3","6.1","6","same"
"e3","ftnk","lost","0/3","7","-0.87","lost","0/3","12v6","-0.458","0.071","3600","1951","11.4","lost","0/3","-0.244","0.35","15.7","3","6","6.1","yes"
"e3","stnk","lost","0/3","13.3","-0.2","won","3/3","12v4","0.692","0.054","1107","3600","14.7","won","3/3","0.672","0.077","13.5","5.1","7.1","6.1","no"
"e3","arty","lost","0/3","10.4","-0.067","lost","0/3","12v6","-0.539","0.212","3600","1659","12.9","lost","0/3","-0.896","0.156","13.7",,"5.1","6.1","no"
"e3","mlrs","won","2/3","15.3","0.398","unresolved","1/3","12v6","0.534","0.319","1526","3448","44.8","won","3/3","0.635","0.212","15","3","6.3","6","yes"
"e3","orca","won","3/3","10.4","0.294","won","3/3","12v3","0.883","0.005","421","3600","9.4","won","3/3","0.885","0.007","9.4","2","5.1","5.1","no"
